model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
resnet50,fp32,1024,1178.8619716191993,868.6123371124268,43.43171739578247,1
resnet50,fp32,128,1282.3970587111223,99.79321479797363,4.990653991699219,1
resnet50,fp32,12,1542.328781983199,7.761349678039551,0.3890221118927002,1
resnet50,fp32,16,1519.0644342311607,10.51309585571289,0.5266399383544922,1
resnet50,fp32,192,1258.4802473296536,152.54472732543945,7.628248453140259,1
resnet50,fp32,1,210.71186713153216,4.72630500793457,0.2372908592224121,1
resnet50,fp32,24,1505.23699454119,15.924868583679201,0.7972166538238525,1
resnet50,fp32,256,1235.5817859531435,207.16978073120117,10.359492301940918,1
resnet50,fp32,2,404.4129302481646,4.92619514465332,0.24727201461791992,1
resnet50,fp32,32,1447.0183930341843,22.094426155090332,1.1057219505310059,1
resnet50,fp32,384,1213.241349686205,316.4870500564575,15.8253755569458,1
resnet50,fp32,48,1391.9512288206606,34.464125633239746,1.724198341369629,1
resnet50,fp32,4,827.4363858209699,4.815196990966797,0.24171042442321777,1
resnet50,fp32,512,1205.184351396832,424.81027603149414,21.24156355857849,1
resnet50,fp32,64,1353.9770546334248,47.24783897399902,2.363407850265503,1
resnet50,fp32,768,1187.8891929851015,646.5040159225464,32.326247453689575,1
resnet50,fp32,8,1382.0272052469734,5.769481658935547,0.2894299030303955,1
resnet50,fp32,96,1304.6131195769801,73.56505870819092,3.6792516708374023,1
