model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
resnet50,bf16,1,104.46247070456,9.531588554382324,0.4786407947540283,1
resnet50,bf16,24,2441.140183208047,9.787001609802246,0.4915735721588135,1
resnet50,bf16,256,3563.772663194483,71.76488399505615,3.5916993618011475,1
resnet50,bf16,2,223.66197813987938,8.908963203430176,0.44710326194763184,1
resnet50,bf16,32,3260.442069208439,9.774689674377441,0.49073100090026855,1
resnet50,bf16,384,3444.605374876437,111.4008903503418,5.573933124542236,1
resnet50,bf16,48,4389.009610072852,10.88754653930664,0.5468204021453857,1
resnet50,bf16,4,456.43097716378196,8.725500106811523,0.43818235397338867,1
resnet50,bf16,512,3406.205346052637,150.22498607635498,7.515694856643677,1
resnet50,bf16,64,4337.501179566928,14.694852828979492,0.7377519607543945,1
resnet50,bf16,768,3376.1147284680687,227.38454341888428,11.374021053314209,1
resnet50,bf16,8,856.0144740453957,9.307150840759277,0.4672818183898926,1
resnet50,bf16,96,4096.576747865707,23.378071784973145,1.1717100143432617,1
resnet50,fp16,1024,3389.894806856293,301.9800043106079,15.103713512420654,1
resnet50,fp16,128,4153.875112382762,30.75392246246338,1.5407299995422363,1
resnet50,fp16,12,1007.47480594785,11.85755729675293,0.5955483913421631,1
resnet50,fp16,16,1794.0361390384166,8.876357078552246,0.4459218978881836,1
resnet50,fp16,192,3728.7432202047853,51.43030643463135,2.574594020843506,1
resnet50,fp16,1,105.48438823489172,9.43948745727539,0.47400379180908203,1
resnet50,fp16,24,2600.9426751987335,9.187936782836914,0.46137118339538574,1
resnet50,fp16,256,3630.014551271341,70.46152114868164,3.5261566638946533,1
resnet50,fp16,2,153.55443227235668,12.954144477844238,0.6512348651885986,1
resnet50,fp16,32,3504.8496847879846,9.089298248291016,0.4565103054046631,1
resnet50,fp16,384,3478.5171966889166,110.33257961273193,5.519593238830566,1
resnet50,fp16,48,4671.7771431992505,10.2260160446167,0.5137231349945068,1
resnet50,fp16,4,399.65963739757916,9.961628913879395,0.5004258155822754,1
resnet50,fp16,512,3442.8297502514606,148.611741065979,7.435743808746338,1
